가_ga g a
겊_geoB g eo B
겋_geoD g eo D
게_ge g e
겍_geG g e G
겎_geG g e G
겏_geG g e G
겐_geN g e N
겑_geN g e N
겒_geN g e N
겓_geD g e D
겔_geL g e L
겕_geG g e G
겖_geM g e M
겗_geL g e L
겘_geL g e L
겙_geL g e L
겚_geB g e B
겛_geL g e L
겜_geM g e M
겝_geB g e B
겞_geB g e B
겟_geD g e D
겠_geD g e D
겡_geNG g e NG
겢_geD g e D
겣_geD g e D
겤_geG g e G
겥_geD g e D
겦_geB g e B
겧_geD g e D
겨_gyeo g yeo
격_gyeoG g yeo G
겪_gyeoG g yeo G
겫_gyeoG g yeo G
견_gyeoN g yeo N
겭_gyeoN g yeo N
겮_gyeoN g yeo N
겯_gyeoD g yeo D
결_gyeoL g yeo L
겱_gyeoG g yeo G
겲_gyeoM g yeo M
겳_gyeoL g yeo L
겴_gyeoL g yeo L
겵_gyeoL g yeo L
겶_gyeoB g yeo B
겷_gyeoL g yeo L
겸_gyeoM g yeo M
겹_gyeoB g yeo B
겺_gyeoB g yeo B
겻_gyeoD g yeo D
겼_gyeoD g yeo D
경_gyeoNG g yeo NG
겾_gyeoD g yeo D
겿_gyeoD g yeo D
곀_gyeoG g yeo G
곁_gyeoD g yeo D
곂_gyeoB g yeo B
곃_gyeoD g yeo D
계_gye g ye
곅_gyeG g ye G
곆_gyeG g ye G
곇_gyeG g ye G
곈_gyeN g ye N
곉_gyeN g ye N
곊_gyeN g ye N
곋_gyeD g ye D
곌_gyeL g ye L
곍_gyeG g ye G
곎_gyeM g ye M
곏_gyeL g ye L
곐_gyeL g ye L
곑_gyeL g ye L
곒_gyeB g ye B
곓_gyeL g ye L
곔_gyeM g ye M
곕_gyeB g ye B
곖_gyeB g ye B
곗_gyeD g ye D
곘_gyeD g ye D
곙_gyeNG g ye NG
곚_gyeD g ye D
곛_gyeD g ye D
곜_gyeG g ye G
곝_gyeD g ye D
곞_gyeB g ye B
곟_gyeD g ye D
고_go g o
곡_goG g o G
곢_goG g o G
곣_goG g o G
곤_goN g o N
곥_goN g o N
곦_goN g o N
곧_goD g o D
골_goL g o L
곩_goG g o G
곪_goM g o M
곫_goL g o L
곬_goL g o L
곭_goL g o L
곮_goB g o B
곯_goL g o L
곰_goM g o M
곱_goB g o B
곲_goB g o B
곳_goD g o D
곴_goD g o D
공_goNG g o NG
곶_goD g o D
곷_goD g o D
곸_goG g o G
곹_goD g o D
곺_goB g o B
곻_goD g o D
과_gwa g wa
곽_gwaG g wa G
곾_gwaG g wa G
곿_gwaG g wa G
관_gwaN g wa N
괁_gwaN g wa N
괂_gwaN g wa N
괃_gwaD g wa D
괄_gwaL g wa L
괅_gwaG g wa G
괆_gwaM g wa M
괇_gwaL g wa L
괈_gwaL g wa L
괉_gwaL g wa L
괊_gwaB g wa B
괋_gwaL g wa L
괌_gwaM g wa M
괍_gwaB g wa B
괎_gwaB g wa B
괏_gwaD g wa D
괐_gwaD g wa D
광_gwaNG g wa NG
괒_gwaD g wa D
괓_gwaD g wa D
괔_gwaG g wa G
괕_gwaD g wa D
괖_gwaB g wa B
괗_gwaD g wa D
괘_goe g oe
괙_goeG g oe G
괚_goeG g oe G
괛_goeG g oe G
괜_goeN g oe N
괝_goeN g oe N
괞_goeN g oe N
괟_goeD g oe D
괠_goeL g oe L
괡_goeG g oe G
괢_goeM g oe M
괣_goeL g oe L
괤_goeL g oe L
괥_goeL g oe L
괦_goeB g oe B
괧_goeL g oe L
괨_goeM g oe M
괩_goeB g oe B
괪_goeB g oe B
괫_goeD g oe D
괬_goeD g oe D
괭_goeNG g oe NG
괮_goeD g oe D
괯_goeD g oe D
괰_goeG g oe G
괱_goeD g oe D
괲_goeB g oe B
괳_goeD g oe D
괴_goe g oe
괵_goeG g oe G
괶_goeG g oe G
괷_goeG g oe G
괸_goeN g oe N
괹_goeN g oe N
괺_goeN g oe N
괻_goeD g oe D
괼_goeL g oe L
괽_goeG g oe G
괾_goeM g oe M
괿_goeL g oe L
굀_goeL g oe L
굁_goeL g oe L
굂_goeB g oe B
굃_goeL g oe L
굄_goeM g oe M
굅_goeB g oe B
굆_goeB g oe B
굇_goeD g oe D
굈_goeD g oe D
굉_goeNG g oe NG
굊_goeD g oe D
굋_goeD g oe D
굌_goeG g oe G
굍_goeD g oe D
굎_goeB g oe B
굏_goeD g oe D
교_gyo g yo
굑_gyoG g yo G
굒_gyoG g yo G
굓_gyoG g yo G
굔_gyoN g yo N
굕_gyoN g yo N
굖_gyoN g yo N
굗_gyoD g yo D
굘_gyoL g yo L
굙_gyoG g yo G
굚_gyoM g yo M
굛_gyoL g yo L
굜_gyoL g yo L
굝_gyoL g yo L
굞_gyoB g yo B
굟_gyoL g yo L
굠_gyoM g yo M
굡_gyoB g yo B
굢_gyoB g yo B
굣_gyoD g yo D
굤_gyoD g yo D
굥_gyoNG g yo NG
굦_gyoD g yo D
굧_gyoD g yo D
굨_gyoG g yo G
굩_gyoD g yo D
굪_gyoB g yo B
굫_gyoD g yo D
구_gu g u
국_guG g u G
굮_guG g u G
굯_guG g u G
군_guN g u N
굱_guN g u N
굲_guN g u N
굳_guD g u D
굴_guL g u L
굵_guG g u G
굶_guM g u M
굷_guL g u L
굸_guL g u L
굹_guL g u L
굺_guB g u B
굻_guL g u L
굼_guM g u M
굽_guB g u B
굾_guB g u B
굿_guD g u D
궀_guD g u D
궁_guNG g u NG
궂_guD g u D
궃_guD g u D
궄_guG g u G
궅_guD g u D
궆_guB g u B
궇_guD g u D
궈_gweo g weo
궉_gweoG g weo G
궊_gweoG g weo G
궋_gweoG g weo G
권_gweoN g weo N
궍_gweoN g weo N
궎_gweoN g weo N
궏_gweoD g weo D
궐_gweoL g weo L
궑_gweoG g weo G
궒_gweoM g weo M
궓_gweoL g weo L
궔_gweoL g weo L
궕_gweoL g weo L
궖_gweoB g weo B
궗_gweoL g weo L
궘_gweoM g weo M
궙_gweoB g weo B
궚_gweoB g weo B
궛_gweoD g weo D
궜_gweoD g weo D
궝_gweoNG g weo NG
궞_gweoD g weo D
궟_gweoD g weo D
궠_gweoG g weo G
궡_gweoD g weo D
궢_gweoB g weo B
궣_gweoD g weo D
궤_goe g oe
궥_goeG g oe G
궦_goeG g oe G
궧_goeG g oe G
궨_goeN g oe N
궩_goeN g oe N
궪_goeN g oe N
궫_goeD g oe D
궬_goeL g oe L
궭_goeG g oe G
궮_goeM g oe M
궯_goeL g oe L
궰_goeL g oe L
궱_goeL g oe L
궲_goeB g oe B
궳_goeL g oe L
궴_goeM g oe M
궵_goeB g oe B
궶_goeB g oe B
궷_goeD g oe D
궸_goeD g oe D
궹_goeNG g oe NG
궺_goeD g oe D
궻_goeD g oe D
궼_goeG g oe G
궽_goeD g oe D
궾_goeB g oe B
궿_goeD g oe D
귀_gwi g wi
귁_gwiG g wi G
귂_gwiG g wi G
귃_gwiG g wi G
귄_gwiN g wi N
귅_gwiN g wi N
귆_gwiN g wi N
귇_gwiD g wi D
귈_gwiL g wi L
귉_gwiG g wi G
귊_gwiM g wi M
귋_gwiL g wi L
귌_gwiL g wi L
귍_gwiL g wi L
귎_gwiB g wi B
귏_gwiL g wi L
귐_gwiM g wi M
귑_gwiB g wi B
귒_gwiB g wi B
귓_gwiD g wi D
귔_gwiD g wi D
귕_gwiNG g wi NG
귖_gwiD g wi D
귗_gwiD g wi D
귘_gwiG g wi G
귙_gwiD g wi D
귚_gwiB g wi B
귛_gwiD g wi D
규_gyu g yu
귝_gyuG g yu G
귞_gyuG g yu G
귟_gyuG g yu G
균_gyuN g yu N
귡_gyuN g yu N
귢_gyuN g yu N
귣_gyuD g yu D
귤_gyuL g yu L
귥_gyuG g yu G
귦_gyuM g yu M
귧_gyuL g yu L
귨_gyuL g yu L
귩_gyuL g yu L
귪_gyuB g yu B
귫_gyuL g yu L
귬_gyuM g yu M
귭_gyuB g yu B
귮_gyuB g yu B
귯_gyuD g yu D
귰_gyuD g yu D
귱_gyuNG g yu NG
귲_gyuD g yu D
귳_gyuD g yu D
귴_gyuG g yu G
귵_gyuD g yu D
귶_gyuB g yu B
귷_gyuD g yu D
그_geu g eu
극_geuG g eu G
귺_geuG g eu G
귻_geuG g eu G
근_geuN g eu N
귽_geuN g eu N
귾_geuN g eu N
귿_geuD g eu D
글_geuL g eu L
긁_geuG g eu G
긂_geuM g eu M
긃_geuL g eu L
긄_geuL g eu L
긅_geuL g eu L
긆_geuB g eu B
긇_geuL g eu L
금_geuM g eu M
급_geuB g eu B
긊_geuB g eu B
긋_geuD g eu D
긌_geuD g eu D
긍_geuNG g eu NG
긎_geuD g eu D
긏_geuD g eu D
긐_geuG g eu G
긑_geuD g eu D
긒_geuB g eu B
긓_geuD g eu D
긔_gi g i
긕_giG g i G
긖_giG g i G
긗_giG g i G
긘_giN g i N
긙_giN g i N
긚_giN g i N
긛_giD g i D
긜_giL g i L
긝_giG g i G
긞_giM g i M
긟_giL g i L
긠_giL g i L
긡_giL g i L
긢_giB g i B
긣_giL g i L
긤_giM g i M
긥_giB g i B
긦_giB g i B
긧_giD g i D
긨_giD g i D
긩_giNG g i NG
긪_giD g i D
긫_giD g i D
긬_giG g i G
긭_giD g i D
긮_giB g i B
긯_giD g i D
기_gi g i
긱_giG g i G
긲_giG g i G
긳_giG g i G
긴_giN g i N
긵_giN g i N
긶_giN g i N
긷_giD g i D
길_giL g i L
긹_giG g i G
긺_giM g i M
긻_giL g i L
긼_giL g i L
긽_giL g i L
긾_giB g i B
긿_giL g i L
김_giM g i M
깁_giB g i B
깂_giB g i B
깃_giD g i D
깄_giD g i D
깅_giNG g i NG
깆_giD g i D
깇_giD g i D
깈_giG g i G
깉_giD g i D
깊_giB g i B
깋_giD g i D
까_gga gg a
깍_ggaG gg a G
깎_ggaG gg a G
깏_ggaG gg a G
깐_ggaN gg a N
깑_ggaN gg a N
깒_ggaN gg a N
깓_ggaD gg a D
깔_ggaL gg a L
깕_ggaG gg a G
깖_ggaM gg a M
깗_ggaL gg a L
깘_ggaL gg a L
깙_ggaL gg a L
깚_ggaB gg a B
깛_ggaL gg a L
깜_ggaM gg a M
깝_ggaB gg a B
깞_ggaB gg a B
깟_ggaD gg a D
깠_ggaD gg a D
깡_ggaNG gg a NG
깢_ggaD gg a D
깣_ggaD gg a D
깤_ggaG gg a G
깥_ggaD gg a D
깦_ggaB gg a B
깧_ggaD gg a D
깨_gge gg e
깩_ggeG gg e G
깪_ggeG gg e G
깫_ggeG gg e G
깬_ggeN gg e N
깭_ggeN gg e N
깮_ggeN gg e N
깯_ggeD gg e D
깰_ggeL gg e L
깱_ggeG gg e G
깲_ggeM gg e M
깳_ggeL gg e L
깴_ggeL gg e L
깵_ggeL gg e L
깶_ggeB gg e B
깷_ggeL gg e L
깸_ggeM gg e M
깹_ggeB gg e B
깺_ggeB gg e B
깻_ggeD gg e D
깼_ggeD gg e D
깽_ggeNG gg e NG
깾_ggeD gg e D
깿_ggeD gg e D
꺀_ggeG gg e G
꺁_ggeD gg e D
꺂_ggeB gg e B
꺃_ggeD gg e D
꺄_ggya gg ya
꺅_ggyaG gg ya G
꺆_ggyaG gg ya G
꺇_ggyaG gg ya G
꺈_ggyaN gg ya N
꺉_ggyaN gg ya N
꺊_ggyaN gg ya N
꺋_ggyaD gg ya D
꺌_ggyaL gg ya L
꺍_ggyaG gg ya G
꺎_ggyaM gg ya M
꺏_ggyaL gg ya L
꺐_ggyaL gg ya L
꺑_ggyaL gg ya L
꺒_ggyaB gg ya B
꺓_ggyaL gg ya L
꺔_ggyaM gg ya M
꺕_ggyaB gg ya B
꺖_ggyaB gg ya B
꺗_ggyaD gg ya D
꺘_ggyaD gg ya D
꺙_ggyaNG gg ya NG
꺚_ggyaD gg ya D
꺛_ggyaD gg ya D
꺜_ggyaG gg ya G
꺝_ggyaD gg ya D
꺞_ggyaB gg ya B
꺟_ggyaD gg ya D
꺠_ggye gg ye
꺡_ggyeG gg ye G
꺢_ggyeG gg ye G
꺣_ggyeG gg ye G
꺤_ggyeN gg ye N
꺥_ggyeN gg ye N
꺦_ggyeN gg ye N
꺧_ggyeD gg ye D
꺨_ggyeL gg ye L
꺩_ggyeG gg ye G
꺪_ggyeM gg ye M
꺫_ggyeL gg ye L
꺬_ggyeL gg ye L
꺭_ggyeL gg ye L
꺮_ggyeB gg ye B
꺯_ggyeL gg ye L
꺰_ggyeM gg ye M
꺱_ggyeB gg ye B
꺲_ggyeB gg ye B
꺳_ggyeD gg ye D
꺴_ggyeD gg ye D
꺵_ggyeNG gg ye NG
꺶_ggyeD gg ye D
꺷_ggyeD gg ye D
꺸_ggyeG gg ye G
꺹_ggyeD gg ye D
꺺_ggyeB gg ye B
꺻_ggyeD gg ye D
꺼_ggeo gg eo
꺽_ggeoG gg eo G
꺾_ggeoG gg eo G
꺿_ggeoG gg eo G
껀_ggeoN gg eo N
껁_ggeoN gg eo N
껂_ggeoN gg eo N
껃_ggeoD gg eo D
껄_ggeoL gg eo L
껅_ggeoG gg eo G
껆_ggeoM gg eo M
껇_ggeoL gg eo L
껈_ggeoL gg eo L
껉_ggeoL gg eo L
껊_ggeoB gg eo B
껋_ggeoL gg eo L
껌_ggeoM gg eo M
껍_ggeoB gg eo B
껎_ggeoB gg eo B
껏_ggeoD gg eo D
껐_ggeoD gg eo D
껑_ggeoNG gg eo NG
껒_ggeoD gg eo D
껓_ggeoD gg eo D
껔_ggeoG gg eo G
껕_ggeoD gg eo D
껖_ggeoB gg eo B
껗_ggeoD gg eo D
께_gge gg e
껙_ggeG gg e G
껚_ggeG gg e G
껛_ggeG gg e G
껜_ggeN gg e N
껝_ggeN gg e N
껞_ggeN gg e N
껟_ggeD gg e D
껠_ggeL gg e L
껡_ggeG gg e G
껢_ggeM gg e M
껣_ggeL gg e L
껤_ggeL gg e L
껥_ggeL gg e L
껦_ggeB gg e B
껧_ggeL gg e L
껨_ggeM gg e M
껩_ggeB gg e B
껪_ggeB gg e B
껫_ggeD gg e D
껬_ggeD gg e D
껭_ggeNG gg e NG
껮_ggeD gg e D
껯_ggeD gg e D
껰_ggeG gg e G
껱_ggeD gg e D
껲_ggeB gg e B
껳_ggeD gg e D
껴_ggyeo gg yeo
껵_ggyeoG gg yeo G
껶_ggyeoG gg yeo G
껷_ggyeoG gg yeo G
껸_ggyeoN gg yeo N
껹_ggyeoN gg yeo N
껺_ggyeoN gg yeo N
껻_ggyeoD gg yeo D
껼_ggyeoL gg yeo L
껽_ggyeoG gg yeo G
껾_ggyeoM gg yeo M
껿_ggyeoL gg yeo L
꼀_ggyeoL gg yeo L
꼁_ggyeoL gg yeo L
꼂_ggyeoB gg yeo B
꼃_ggyeoL gg yeo L
꼄_ggyeoM gg yeo M
꼅_ggyeoB gg yeo B
꼆_ggyeoB gg yeo B
꼇_ggyeoD gg yeo D
꼈_ggyeoD gg yeo D
꼉_ggyeoNG gg yeo NG
꼊_ggyeoD gg yeo D
꼋_ggyeoD gg yeo D
꼌_ggyeoG gg yeo G
꼍_ggyeoD gg yeo D
꼎_ggyeoB gg yeo B
꼏_ggyeoD gg yeo D
꼐_ggye gg ye
꼑_ggyeG gg ye G
꼒_ggyeG gg ye G
꼓_ggyeG gg ye G
꼔_ggyeN gg ye N
꼕_ggyeN gg ye N
꼖_ggyeN gg ye N
꼗_ggyeD gg ye D
꼘_ggyeL gg ye L
꼙_ggyeG gg ye G
꼚_ggyeM gg ye M
꼛_ggyeL gg ye L
꼜_ggyeL gg ye L
꼝_ggyeL gg ye L
꼞_ggyeB gg ye B
꼟_ggyeL gg ye L
꼠_ggyeM gg ye M
꼡_ggyeB gg ye B
꼢_ggyeB gg ye B
꼣_ggyeD gg ye D
꼤_ggyeD gg ye D
꼥_ggyeNG gg ye NG
꼦_ggyeD gg ye D
꼧_ggyeD gg ye D
꼨_ggyeG gg ye G
꼩_ggyeD gg ye D
꼪_ggyeB gg ye B
꼫_ggyeD gg ye D
꼬_ggo gg o
꼭_ggoG gg o G
꼮_ggoG gg o G
꼯_ggoG gg o G
꼰_ggoN gg o N
꼱_ggoN gg o N
꼲_ggoN gg o N
꼳_ggoD gg o D
꼴_ggoL gg o L
꼵_ggoG gg o G
꼶_ggoM gg o M
꼷_ggoL gg o L
꼸_ggoL gg o L
꼹_ggoL gg o L
꼺_ggoB gg o B
꼻_ggoL gg o L
꼼_ggoM gg o M
꼽_ggoB gg o B
꼾_ggoB gg o B
꼿_ggoD gg o D
꽀_ggoD gg o D
꽁_ggoNG gg o NG
꽂_ggoD gg o D
꽃_ggoD gg o D
꽄_ggoG gg o G
꽅_ggoD gg o D
꽆_ggoB gg o B
꽇_ggoD gg o D
꽈_ggwa gg wa
꽉_ggwaG gg wa G
꽊_ggwaG gg wa G
꽋_ggwaG gg wa G
꽌_ggwaN gg wa N
꽍_ggwaN gg wa N
꽎_ggwaN gg wa N
꽏_ggwaD gg wa D
꽐_ggwaL gg wa L
꽑_ggwaG gg wa G
꽒_ggwaM gg wa M
꽓_ggwaL gg wa L
꽔_ggwaL gg wa L
꽕_ggwaL gg wa L
꽖_ggwaB gg wa B
꽗_ggwaL gg wa L
꽘_ggwaM gg wa M
꽙_ggwaB gg wa B
꽚_ggwaB gg wa B
꽛_ggwaD gg wa D
꽜_ggwaD gg wa D
꽝_ggwaNG gg wa NG
꽞_ggwaD gg wa D
꽟_ggwaD gg wa D
꽠_ggwaG gg wa G
꽡_ggwaD gg wa D
꽢_ggwaB gg wa B
꽣_ggwaD gg wa D
꽤_ggoe gg oe
꽥_ggoeG gg oe G
꽦_ggoeG gg oe G
꽧_ggoeG gg oe G
꽨_ggoeN gg oe N
꽩_ggoeN gg oe N
꽪_ggoeN gg oe N
꽫_ggoeD gg oe D
꽬_ggoeL gg oe L
꽭_ggoeG gg oe G
꽮_ggoeM gg oe M
꽯_ggoeL gg oe L
꽰_ggoeL gg oe L
꽱_ggoeL gg oe L
꽲_ggoeB gg oe B
꽳_ggoeL gg oe L
꽴_ggoeM gg oe M
꽵_ggoeB gg oe B
꽶_ggoeB gg oe B
꽷_ggoeD gg oe D
꽸_ggoeD gg oe D
꽹_ggoeNG gg oe NG
꽺_ggoeD gg oe D
꽻_ggoeD gg oe D
꽼_ggoeG gg oe G
꽽_ggoeD gg oe D
꽾_ggoeB gg oe B
꽿_ggoeD gg oe D
꾀_ggoe gg oe
꾁_ggoeG gg oe G
꾂_ggoeG gg oe G
꾃_ggoeG gg oe G
꾄_ggoeN gg oe N
꾅_ggoeN gg oe N
꾆_ggoeN gg oe N
꾇_ggoeD gg oe D
꾈_ggoeL gg oe L
꾉_ggoeG gg oe G
꾊_ggoeM gg oe M
꾋_ggoeL gg oe L
꾌_ggoeL gg oe L
꾍_ggoeL gg oe L
꾎_ggoeB gg oe B
꾏_ggoeL gg oe L
꾐_ggoeM gg oe M
꾑_ggoeB gg oe B
꾒_ggoeB gg oe B
꾓_ggoeD gg oe D
꾔_ggoeD gg oe D
꾕_ggoeNG gg oe NG
꾖_ggoeD gg oe D
꾗_ggoeD gg oe D
꾘_ggoeG gg oe G
꾙_ggoeD gg oe D
꾚_ggoeB gg oe B
꾛_ggoeD gg oe D
꾜_ggyo gg yo
꾝_ggyoG gg yo G
꾞_ggyoG gg yo G
꾟_ggyoG gg yo G
꾠_ggyoN gg yo N
꾡_ggyoN gg yo N
꾢_ggyoN gg yo N
꾣_ggyoD gg yo D
꾤_ggyoL gg yo L
꾥_ggyoG gg yo G
꾦_ggyoM gg yo M
꾧_ggyoL gg yo L
꾨_ggyoL gg yo L
꾩_ggyoL gg yo L
꾪_ggyoB gg yo B
꾫_ggyoL gg yo L
꾬_ggyoM gg yo M
꾭_ggyoB gg yo B
꾮_ggyoB gg yo B
꾯_ggyoD gg yo D
꾰_ggyoD gg yo D
꾱_ggyoNG gg yo NG
꾲_ggyoD gg yo D
꾳_ggyoD gg yo D
꾴_ggyoG gg yo G
꾵_ggyoD gg yo D
꾶_ggyoB gg yo B
꾷_ggyoD gg yo D
꾸_ggu gg u
꾹_gguG gg u G
꾺_gguG gg u G
꾻_gguG gg u G
꾼_gguN gg u N
꾽_gguN gg u N
꾾_gguN gg u N
꾿_gguD gg u D
꿀_gguL gg u L
꿁_gguG gg u G
꿂_gguM gg u M
꿃_gguL gg u L
꿄_gguL gg u L
꿅_gguL gg u L
꿆_gguB gg u B
꿇_gguL gg u L
꿈_gguM gg u M
꿉_gguB gg u B
꿊_gguB gg u B
꿋_gguD gg u D
꿌_gguD gg u D
꿍_gguNG gg u NG
꿎_gguD gg u D
꿏_gguD gg u D
꿐_gguG gg u G
꿑_gguD gg u D
꿒_gguB gg u B
꿓_gguD gg u D
꿔_ggweo gg weo
꿕_ggweoG gg weo G
꿖_ggweoG gg weo G
꿗_ggweoG gg weo G
꿘_ggweoN gg weo N
꿙_ggweoN gg weo N
꿚_ggweoN gg weo N
꿛_ggweoD gg weo D
꿜_ggweoL gg weo L
꿝_ggweoG gg weo G
꿞_ggweoM gg weo M
꿟_ggweoL gg weo L
꿠_ggweoL gg weo L
꿡_ggweoL gg weo L
꿢_ggweoB gg weo B
꿣_ggweoL gg weo L
꿤_ggweoM gg weo M
꿥_ggweoB gg weo B
꿦_ggweoB gg weo B
꿧_ggweoD gg weo D
꿨_ggweoD gg weo D
꿩_ggweoNG gg weo NG
꿪_ggweoD gg weo D
꿫_ggweoD gg weo D
꿬_ggweoG gg weo G
꿭_ggweoD gg weo D
꿮_ggweoB gg weo B
꿯_ggweoD gg weo D
꿰_ggoe gg oe
꿱_ggoeG gg oe G
꿲_ggoeG gg oe G
꿳_ggoeG gg oe G
꿴_ggoeN gg oe N
꿵_ggoeN gg oe N
꿶_ggoeN gg oe N
꿷_ggoeD gg oe D
꿸_ggoeL gg oe L
꿹_ggoeG gg oe G
꿺_ggoeM gg oe M
꿻_ggoeL gg oe L
꿼_ggoeL gg oe L
꿽_ggoeL gg oe L
꿾_ggoeB gg oe B
꿿_ggoeL gg oe L
뀀_ggoeM gg oe M
뀁_ggoeB gg oe B
뀂_ggoeB gg oe B
뀃_ggoeD gg oe D
뀄_ggoeD gg oe D
뀅_ggoeNG gg oe NG
뀆_ggoeD gg oe D
뀇_ggoeD gg oe D
뀈_ggoeG gg oe G
뀉_ggoeD gg oe D
뀊_ggoeB gg oe B
뀋_ggoeD gg oe D
뀌_ggwi gg wi
뀍_ggwiG gg wi G
뀎_ggwiG gg wi G
뀏_ggwiG gg wi G
뀐_ggwiN gg wi N
뀑_ggwiN gg wi N
뀒_ggwiN gg wi N
뀓_ggwiD gg wi D
뀔_ggwiL gg wi L
뀕_ggwiG gg wi G
뀖_ggwiM gg wi M
뀗_ggwiL gg wi L
뀘_ggwiL gg wi L
뀙_ggwiL gg wi L
뀚_ggwiB gg wi B
뀛_ggwiL gg wi L
뀜_ggwiM gg wi M
뀝_ggwiB gg wi B
뀞_ggwiB gg wi B
뀟_ggwiD gg wi D
뀠_ggwiD gg wi D
뀡_ggwiNG gg wi NG
뀢_ggwiD gg wi D
뀣_ggwiD gg wi D
뀤_ggwiG gg wi G
뀥_ggwiD gg wi D
뀦_ggwiB gg wi B
뀧_ggwiD gg wi D
뀨_ggyu gg yu
뀩_ggyuG gg yu G
뀪_ggyuG gg yu G
뀫_ggyuG gg yu G
뀬_ggyuN gg yu N
뀭_ggyuN gg yu N
뀮_ggyuN gg yu N
뀯_ggyuD gg yu D
뀰_ggyuL gg yu L
뀱_ggyuG gg yu G
뀲_ggyuM gg yu M
뀳_ggyuL gg yu L
뀴_ggyuL gg yu L
뀵_ggyuL gg yu L
뀶_ggyuB gg yu B
뀷_ggyuL gg yu L
뀸_ggyuM gg yu M
뀹_ggyuB gg yu B
뀺_ggyuB gg yu B
뀻_ggyuD gg yu D
뀼_ggyuD gg yu D
뀽_ggyuNG gg yu NG
뀾_ggyuD gg yu D
뀿_ggyuD gg yu D
끀_ggyuG gg yu G
끁_ggyuD gg yu D
끂_ggyuB gg yu B
끃_ggyuD gg yu D
끄_ggeu gg eu
끅_ggeuG gg eu G
끆_ggeuG gg eu G
끇_ggeuG gg eu G
끈_ggeuN gg eu N
끉_ggeuN gg eu N
끊_ggeuN gg eu N
끋_ggeuD gg eu D
끌_ggeuL gg eu L
끍_ggeuG gg eu G
끎_ggeuM gg eu M
끏_ggeuL gg eu L
끐_ggeuL gg eu L
끑_ggeuL gg eu L
끒_ggeuB gg eu B
끓_ggeuL gg eu L
끔_ggeuM gg eu M
끕_ggeuB gg eu B
끖_ggeuB gg eu B
끗_ggeuD gg eu D
끘_ggeuD gg eu D
끙_ggeuNG gg eu NG
끚_ggeuD gg eu D
끛_ggeuD gg eu D
끜_ggeuG gg eu G
끝_ggeuD gg eu D
끞_ggeuB gg eu B
끟_ggeuD gg eu D
끠_ggi gg i
끡_ggiG gg i G
끢_ggiG gg i G
끣_ggiG gg i G
